sample_id,graph_id,target_node,target_role,target_index,context_index,context_id,core_type,core_id,dvfs_level,frequency_ghz,voltage_v,local_target_node_index,y_exec_us_raw,Q50_pred_us,Q90_pred_us,Q95_pred_us,Q99_pred_us,scenario_active_core_count,active_core_count_zscore,criticality,Qhat_base_us,q_conf_us,C_e_us,y_exec_us_original_context_NOT_GROUND_TRUTH_for_this_scenario,uncertainty_spread_us
test_id_test_id_000008_00,test_id_000008,7,source_like,0,0,test_id_000008_t0_c0,big,big_1,1,1.4,0.98,6,70442.24,66398.4375,80164.84375,84060.15625,93589.390625,8,6.736035493669471,HI,84060.15625,15665.78125,99725.9375,70442.2421875,27190.953125
test_id_test_id_000008_01,test_id_000008,7,source_like,0,1,test_id_000008_t0_c1,little,little_0,1,0.9,0.86,6,159207.81,156565.71875,174062.046875,179270.3125,191532.21875,8,6.736035493669471,HI,179270.3125,15665.78125,194936.09375,159207.8125,34966.5
test_id_test_id_000008_02,test_id_000008,7,source_like,0,2,test_id_000008_t0_c2,big,big_0,2,1.8,1.06,6,54589.582,51012.265625,64038.0625,67831.8125,76876.546875,8,6.736035493669471,HI,67831.8125,15665.78125,83497.59375,54589.58203125,25864.28125
test_id_test_id_000008_03,test_id_000008,7,source_like,0,3,test_id_000008_t0_c3,little,little_1,2,1.2,0.93,6,113274.22,109213.6875,124423.96875,128673.328125,139249.921875,8,6.736035493669471,HI,128673.328125,15665.78125,144339.109375,113274.21875,30036.234375
test_id_test_id_000008_04,test_id_000008,7,source_like,0,4,test_id_000008_t0_c4,big,big_1,3,2.2,1.15,6,42978.164,42212.453125,54863.328125,58617.671875,67412.796875,8,6.736035493669471,HI,58617.671875,15665.78125,74283.453125,42978.1640625,25200.34375
test_id_test_id_000008_05,test_id_000008,7,source_like,0,5,test_id_000008_t0_c5,little,little_1,3,1.5,1.0,6,101568.36,92042.609375,106768.6875,110800.28125,120934.0,8,6.736035493669471,HI,110800.28125,15665.78125,126466.0625,101568.359375,28891.390625
test_id_test_id_000008_06,test_id_000008,7,source_like,0,6,test_id_000008_t0_c6,big,big_1,0,1.0,0.9,6,86958.97,86298.5625,101017.078125,105124.171875,115353.375,8,6.736035493669471,HI,105124.171875,15665.78125,120789.953125,86958.96875,29054.8125
test_id_test_id_000008_07,test_id_000008,65,sink_like,1,0,test_id_000008_t1_c0,little,little_1,1,0.9,0.86,64,480436.7,474158.625,514356.5,525906.1875,549150.25,8,6.736035493669471,HI,525906.1875,15665.78125,541571.96875,480436.6875,74991.625
test_id_test_id_000008_08,test_id_000008,65,sink_like,1,1,test_id_000008_t1_c1,big,big_0,2,1.8,1.06,64,184915.81,185254.8125,203960.453125,209534.453125,222398.515625,8,6.736035493669471,HI,209534.453125,15665.78125,225200.234375,184915.8125,37143.703125
test_id_test_id_000008_09,test_id_000008,65,sink_like,1,2,test_id_000008_t1_c2,little,little_1,2,1.2,0.93,64,285244.62,288655.875,313732.59375,320943.5,337096.90625,8,6.736035493669471,HI,320943.5,15665.78125,336609.28125,285244.625,48441.03125
test_id_test_id_000008_10,test_id_000008,65,sink_like,1,3,test_id_000008_t1_c3,big,big_0,3,2.2,1.15,64,137987.05,151531.6875,168291.9375,173143.828125,184708.5,8,6.736035493669471,HI,173143.828125,15665.78125,188809.609375,137987.046875,33176.8125
test_id_test_id_000008_11,test_id_000008,65,sink_like,1,4,test_id_000008_t1_c4,little,little_1,3,1.5,1.0,64,308756.97,329864.125,358124.59375,366155.5625,383927.875,8,6.736035493669471,HI,366155.5625,15665.78125,381821.34375,308756.96875,54063.75
test_id_test_id_000008_12,test_id_000008,65,sink_like,1,5,test_id_000008_t1_c5,big,big_1,0,1.0,0.9,64,302246.25,311945.40625,338739.78125,346368.4375,363395.40625,8,6.736035493669471,HI,346368.4375,15665.78125,362034.21875,302246.25,51450.0
test_id_test_id_000008_13,test_id_000008,65,sink_like,1,6,test_id_000008_t1_c6,little,little_0,0,0.6,0.8,64,591964.4,606946.875,655498.0625,669882.75,695117.25,8,6.736035493669471,HI,669882.75,15665.78125,685548.53125,591964.375,88170.375
test_id_test_id_000008_14,test_id_000008,66,middle,2,0,test_id_000008_t2_c0,big,big_1,2,1.8,1.06,65,223297.97,226475.28125,247667.421875,253986.71875,268281.375,8,6.736035493669471,HI,253986.71875,15665.78125,269652.5,223297.96875,41806.09375
test_id_test_id_000008_15,test_id_000008,66,middle,2,1,test_id_000008_t2_c1,little,little_0,2,1.2,0.93,65,430506.66,421315.375,457294.875,467536.71875,489060.625,8,6.736035493669471,HI,467536.71875,15665.78125,483202.5,430506.65625,67745.25
test_id_test_id_000008_16,test_id_000008,66,middle,2,2,test_id_000008_t2_c2,big,big_1,3,2.2,1.15,65,171414.8,183347.921875,202027.03125,207604.21875,220486.9375,8,6.736035493669471,HI,207604.21875,15665.78125,223270.0,171414.796875,37139.015625
test_id_test_id_000008_17,test_id_000008,66,middle,2,3,test_id_000008_t2_c3,little,little_0,3,1.5,1.0,65,265097.97,266633.15625,290259.3125,297145.34375,312612.53125,8,6.736035493669471,HI,297145.34375,15665.78125,312811.125,265097.96875,45979.375
