sample_id,graph_id,target_node,target_role,target_index,context_index,context_id,core_type,core_id,dvfs_level,frequency_ghz,voltage_v,local_target_node_index,y_exec_us_raw,Q50_pred_us,Q90_pred_us,Q95_pred_us,Q99_pred_us,scenario_active_core_count,active_core_count_zscore,criticality,Qhat_base_us,q_conf_us,C_e_us,y_exec_us_original_context_NOT_GROUND_TRUTH_for_this_scenario,uncertainty_spread_us
test_id_test_id_000008_00,test_id_000008,7,source_like,0,0,test_id_000008_t0_c0,big,big_1,1,1.4,0.98,6,70442.24,75644.3125,89781.90625,93723.78125,103487.3125,32,36.151292512336134,HI,93723.78125,15665.78125,109389.5625,70442.2421875,27843.0
test_id_test_id_000008_01,test_id_000008,7,source_like,0,1,test_id_000008_t0_c1,little,little_0,1,0.9,0.86,6,159207.81,169322.5,187572.75,193043.59375,205767.546875,32,36.151292512336134,HI,193043.59375,15665.78125,208709.375,159207.8125,36445.046875
test_id_test_id_000008_02,test_id_000008,7,source_like,0,2,test_id_000008_t0_c2,big,big_0,2,1.8,1.06,6,54589.582,61403.71875,74877.71875,78703.953125,88000.46875,32,36.151292512336134,HI,78703.953125,15665.78125,94369.734375,54589.58203125,26596.75
test_id_test_id_000008_03,test_id_000008,7,source_like,0,3,test_id_000008_t0_c3,little,little_1,2,1.2,0.93,6,113274.22,116433.75,131687.828125,136008.046875,146656.828125,32,36.151292512336134,HI,136008.046875,15665.78125,151673.828125,113274.21875,30223.078125
test_id_test_id_000008_04,test_id_000008,7,source_like,0,4,test_id_000008_t0_c4,big,big_1,3,2.2,1.15,6,42978.164,49375.109375,62278.6875,66048.984375,75022.5,32,36.151292512336134,HI,66048.984375,15665.78125,81714.765625,42978.1640625,25647.390625
test_id_test_id_000008_05,test_id_000008,7,source_like,0,5,test_id_000008_t0_c5,little,little_1,3,1.5,1.0,6,101568.36,97383.734375,112094.78125,116139.34375,126309.484375,32,36.151292512336134,HI,116139.34375,15665.78125,131805.125,101568.359375,28925.75
test_id_test_id_000008_06,test_id_000008,7,source_like,0,6,test_id_000008_t0_c6,big,big_1,0,1.0,0.9,6,86958.97,93300.875,108048.109375,112203.203125,122552.90625,32,36.151292512336134,HI,112203.203125,15665.78125,127868.984375,86958.96875,29252.03125
test_id_test_id_000008_07,test_id_000008,65,sink_like,1,0,test_id_000008_t1_c0,little,little_1,1,0.9,0.86,64,480436.7,442877.0625,480156.75,490738.0,512649.5625,32,36.151292512336134,HI,490738.0,15665.78125,506403.78125,480436.6875,69772.5
test_id_test_id_000008_08,test_id_000008,65,sink_like,1,1,test_id_000008_t1_c1,big,big_0,2,1.8,1.06,64,184915.81,204697.0625,224802.546875,230898.140625,244739.015625,32,36.151292512336134,HI,230898.140625,15665.78125,246563.921875,184915.8125,40041.953125
test_id_test_id_000008_09,test_id_000008,65,sink_like,1,2,test_id_000008_t1_c2,little,little_1,2,1.2,0.93,64,285244.62,303095.25,329238.84375,336716.1875,353405.34375,32,36.151292512336134,HI,336716.1875,15665.78125,352381.96875,285244.625,50310.09375
test_id_test_id_000008_10,test_id_000008,65,sink_like,1,3,test_id_000008_t1_c3,big,big_0,3,2.2,1.15,64,137987.05,172983.109375,191230.671875,196678.359375,209332.1875,32,36.151292512336134,HI,196678.359375,15665.78125,212344.140625,137987.046875,36349.078125
test_id_test_id_000008_11,test_id_000008,65,sink_like,1,4,test_id_000008_t1_c4,little,little_1,3,1.5,1.0,64,308756.97,316979.3125,344213.9375,351971.9375,369218.03125,32,36.151292512336134,HI,351971.9375,15665.78125,367637.71875,308756.96875,52238.71875
test_id_test_id_000008_12,test_id_000008,65,sink_like,1,5,test_id_000008_t1_c5,big,big_1,0,1.0,0.9,64,302246.25,303756.0,329942.65625,337418.375,354116.5,32,36.151292512336134,HI,337418.375,15665.78125,353084.15625,302246.25,50360.5
test_id_test_id_000008_13,test_id_000008,65,sink_like,1,6,test_id_000008_t1_c6,little,little_0,0,0.6,0.8,64,591964.4,552018.0,597022.25,610148.75,634574.0,32,36.151292512336134,HI,610148.75,15665.78125,625814.53125,591964.375,82556.0
test_id_test_id_000008_14,test_id_000008,66,middle,2,0,test_id_000008_t2_c0,big,big_1,2,1.8,1.06,65,223297.97,233866.59375,255644.90625,262168.40625,276863.53125,32,36.151292512336134,HI,262168.40625,15665.78125,277834.1875,223297.96875,42996.9375
test_id_test_id_000008_15,test_id_000008,66,middle,2,1,test_id_000008_t2_c1,little,little_0,2,1.2,0.93,65,430506.66,386380.8125,419132.75,428370.25,448299.34375,32,36.151292512336134,HI,428370.25,15665.78125,444036.03125,430506.65625,61918.53125
test_id_test_id_000008_16,test_id_000008,66,middle,2,2,test_id_000008_t2_c2,big,big_1,3,2.2,1.15,65,171414.8,197136.1875,216864.0,222844.40625,236494.9375,32,36.151292512336134,HI,222844.40625,15665.78125,238510.1875,171414.796875,39358.75
test_id_test_id_000008_17,test_id_000008,66,middle,2,3,test_id_000008_t2_c3,little,little_0,3,1.5,1.0,65,265097.97,273874.78125,298076.15625,305123.9375,320920.90625,32,36.151292512336134,HI,305123.9375,15665.78125,320789.71875,265097.96875,47046.125
test_id_test_id_000008_18,test_id_000008,66,middle,2,4,test_id_000008_t2_c4,big,big_1,0,1.0,0.9,65,354123.5,333935.0625,362355.59375,370383.5625,388170.1875,32,36.151292512336134,HI,370383.5625,15665.78125,386049.34375,354123.5,54235.125
