sample_id,graph_id,target_node,target_role,target_index,context_index,context_id,core_type,core_id,dvfs_level,frequency_ghz,voltage_v,local_target_node_index,y_exec_us_raw,Q50_pred_us,Q90_pred_us,Q95_pred_us,Q99_pred_us,scenario_active_core_count,active_core_count_zscore,criticality,Qhat_base_us,q_conf_us,C_e_us,y_exec_us_original_context_NOT_GROUND_TRUTH_for_this_scenario,uncertainty_spread_us
test_id_test_id_000008_00,test_id_000008,7,source_like,0,0,test_id_000008_t0_c0,big,big_1,1,1.4,0.98,6,70442.24,66334.71875,80099.125,83994.171875,93523.171875,4,1.8334926572250265,HI,83994.171875,15665.78125,99659.953125,70442.2421875,27188.453125
test_id_test_id_000008_01,test_id_000008,7,source_like,0,1,test_id_000008_t0_c1,little,little_0,1,0.9,0.86,6,159207.81,158568.546875,176187.875,181443.96875,193797.5625,4,1.8334926572250265,HI,181443.96875,15665.78125,197109.75,159207.8125,35229.015625
test_id_test_id_000008_02,test_id_000008,7,source_like,0,2,test_id_000008_t0_c2,big,big_0,2,1.8,1.06,6,54589.582,50813.34375,63828.65625,67618.953125,76653.1875,4,1.8334926572250265,HI,67618.953125,15665.78125,83284.734375,54589.58203125,25839.84375
test_id_test_id_000008_03,test_id_000008,7,source_like,0,3,test_id_000008_t0_c3,little,little_1,2,1.2,0.93,6,113274.22,109503.203125,124750.0625,129003.203125,139593.828125,4,1.8334926572250265,HI,129003.203125,15665.78125,144668.984375,113274.21875,30090.625
test_id_test_id_000008_04,test_id_000008,7,source_like,0,4,test_id_000008_t0_c4,big,big_1,3,2.2,1.15,6,42978.164,42174.875,54816.359375,58564.109375,67344.828125,4,1.8334926572250265,HI,58564.109375,15665.78125,74229.890625,42978.1640625,25169.953125
test_id_test_id_000008_05,test_id_000008,7,source_like,0,5,test_id_000008_t0_c5,little,little_1,3,1.5,1.0,6,101568.36,93021.71875,107794.5625,111837.859375,122003.125,4,1.8334926572250265,HI,111837.859375,15665.78125,127503.640625,101568.359375,28981.40625
test_id_test_id_000008_06,test_id_000008,7,source_like,0,6,test_id_000008_t0_c6,big,big_1,0,1.0,0.9,6,86958.97,86314.84375,101049.984375,105150.765625,115370.796875,4,1.8334926572250265,HI,105150.765625,15665.78125,120816.546875,86958.96875,29055.953125
test_id_test_id_000008_07,test_id_000008,65,sink_like,1,0,test_id_000008_t1_c0,little,little_1,1,0.9,0.86,64,480436.7,475253.84375,515597.9375,527199.6875,550522.25,4,1.8334926572250265,HI,527199.6875,15665.78125,542865.46875,480436.6875,75268.40625
test_id_test_id_000008_08,test_id_000008,65,sink_like,1,1,test_id_000008_t1_c1,big,big_0,2,1.8,1.06,64,184915.81,182406.75,200898.25,206387.78125,219097.0625,4,1.8334926572250265,HI,206387.78125,15665.78125,222053.5625,184915.8125,36690.3125
test_id_test_id_000008_09,test_id_000008,65,sink_like,1,2,test_id_000008_t1_c2,little,little_1,2,1.2,0.93,64,285244.62,283791.0625,308518.21875,315635.125,331603.15625,4,1.8334926572250265,HI,315635.125,15665.78125,331300.90625,285244.625,47812.09375
