criticality,nonconformity_score_us
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
HI,0.0
